name,address,city,country,price,cuisine,url,award,stars,longitude,latitude
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Place du Casino, Monaco, 98000, France",Monaco,France,€€€€,"Mediterranean Cuisine, Modern Cuisine",https://www.ducasse-paris.com/,3 MICHELIN Stars,3.0,7.4271047,43.7391839
Le Blue Bay,"40 avenue Princesse-Grace, Monaco, 98000, France",Monaco,France,€€€€,Creative,https://www.montecarlosbm.com/fr/restaurant-monaco/le-blue-bay,2 MICHELIN Stars,2.0,7.4379746,43.7488966
Le Grill,"Place du Casino, Monaco, 98000, France",Monaco,France,€€€€,Classic Cuisine,https://www.montecarlosbm.com/fr/restaurant-monaco/le-grill,1 MICHELIN Star,1.0,7.4271,43.7393665
Yoshi,"4 avenue de la Madone, Monaco, 98000, France",Monaco,France,€€€€,Japanese,http://www.metropole.com/fr,1 MICHELIN Star,1.0,7.4279751,43.7408177
"Pavyllon, un restaurant de Yannick Alléno, Monte-Carlo","Square Beaumarchais, Monaco, 98000, France",Monaco,France,€€€€,"Modern Cuisine, Creative",https://www.montecarlosbm.com/fr,1 MICHELIN Star,1.0,7.4258682,43.7384624
La Table d'Antonio Salvatore au Rampoldi,"3 avenue des Spélugues, Monaco, 98000, France",Monaco,France,€€€€,"Italian, Creative",http://www.rampoldi.mc/la-table-dantonio-salvatore,1 MICHELIN Star,1.0,7.4278204,43.7404558
