record_type,previous_year,current_year,previous_row,current_row,previous_name,current_name,previous_address,current_address,previous_location,current_location,department,region,previous_award,current_award,previous_stars,current_stars,previous_greenstar,current_greenstar,change_types,material,matching_method,matching_confidence,review_status,match_evidence
comparison,2023,2024,667.0,901.0,Comptoir Breizh Café,Le Comptoir Breizh Café,6 rue de l'Orme,6 rue de l'Orme,"Saint-Malo, 35400","Saint-Malo, 35400",Ille-et-Vilaine,Bretagne,Bib Gourmand,Bib Gourmand,0.5,0.5,,,renamed,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,422.0,495.0,Relais de la Poste,Le Relais de la Poste,21 rue du Général-de-Gaulle,21 rue du Général-de-Gaulle,"La Wantzenau, 67610","La Wantzenau, 67610",Bas-Rhin,Grand Est,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,320.0,400.0,Château de Vault-de-Lugny,Le Valucien - Château de Vault-de-Lugny,11 rue du Château,11 rue du Château,"Vault-de-Lugny, 89200","Vault-de-Lugny, 89200",Yonne,Bourgogne-Franche-Comté,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,438.0,250.0,La Maison Caillet,Maison Caillet,22 rue André-Fiquet,22 rue André-Fiquet,"Valmont, 76540","Valmont, 76540",Seine-Maritime,Normandie,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed,False,exact_address_postal,1.0,not_required,normalized_address+postal_code
comparison,2023,2024,441.0,254.0,Entre Vigne et Garrigue,Maison Chenet - Entre Vigne et Garrigue,600 route de Saint-Bruno,600 route de Saint-Bruno,"Pujaut, 30131","Pujaut, 30131",Gard,Occitanie,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed,False,exact_address_postal,1.0,not_required,normalized_address+postal_code
comparison,2023,2024,567.0,227.0,Pastis,Pastis Restaurant,3 rue Terral,3 rue Terral,"Montpellier, 34000","Montpellier, 34000",Hérault,Occitanie,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,370.0,313.0,Girardin - Gastronomique,Restaurant Girardin,19 rue des Têtes,19 rue des Têtes,"Colmar, 68000","Colmar, 68000",Haut-Rhin,Grand Est,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,251.0,541.0,Julien Binz,Restaurant Julien Binz,7 rue des Cigognes,7 rue des Cigognes,"Ammerschwihr, 68770","Ammerschwihr, 68770",Haut-Rhin,Grand Est,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,4.0,16.0,Régis et Jacques Marcon,Restaurant Marcon,Larsiallas,Larsiallas,"Saint-Bonnet-le-Froid, 43290","Saint-Bonnet-le-Froid, 43290",Haute-Loire,Auvergne-Rhône-Alpes,3 MICHELIN Stars,3 Stars,3.0,3.0,,,renamed,False,exact_address_postal,1.0,not_required,normalized_address+postal_code
comparison,2023,2024,378.0,416.0,Moulin de Rosmadec,Rosmadec Le Moulin,Venelle de Rosmadec,Venelle de Rosmadec,"Pont-Aven, 29930","Pont-Aven, 29930",Finistère,Bretagne,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,725.0,937.0,1er Mets,La Guinguette du 1er Mets,Place Saint-Maurice,2 place Saint-Maurice,"Annecy, 74000","Annecy, 74000",Haute-Savoie,Auvergne-Rhône-Alpes,Bib Gourmand,Bib Gourmand,0.5,0.5,,,renamed|relocated,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,497.0,144.0,La Table d'à Côté,La Table - Christophe Hay et Loïs Bée,200 allée des Quatre-Vents,"200 allée des Quatre-Vents, au golf de Limère","Ardon, 45160","Ardon, 45160",Loiret,Centre-Val de Loire,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed|relocated,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,491.0,143.0,Récif - Les Roches Rouges,Récif,90 boulevard de la 36ème-Division-du-Texas,"Les Roches Rouges, 90 boulevard de la 36ème-Division-du-Texas","Saint-Raphaël, 83700","Saint-Raphaël, 83530",Var,Provence-Alpes-Côte d'Azur,1 MICHELIN Star,1 Star,1.0,1.0,,,renamed|relocated,False,exact_url,1.0,not_required,normalized_url
comparison,2023,2024,345.0,298.0,"114, Faubourg","114, Faubourg","Le Bristol, 114 rue du Faubourg-Saint-Honoré","Le Bristol, 114 rue du Faubourg-Saint-Honoré","Paris, 75008","Paris, 75008",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,617.0,276.0,1741,1741,22 quai des Bateliers,22 quai des Bateliers,"Strasbourg, 67000","Strasbourg, 67000",Bas-Rhin,Grand Est,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,925.0,703.0,20 Eiffel,20 Eiffel,20 rue de Monttessuy,20 rue de Monttessuy,"Paris, 75007","Paris, 75007",Paris,Île-de-France,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,758.0,801.0,52 Faubourg St-Denis,52 Faubourg St-Denis,52 rue du Faubourg-Saint-Denis,52 rue du Faubourg-Saint-Denis,"Paris, 75010","Paris, 75010",Paris,Île-de-France,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,247.0,538.0,A Casa di Ma,A Casa di Mà,Route de Calvi,Route de Calvi,"Lumio, 20260","Lumio, 20260",Haute-Corse,Corse,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,978.0,729.0,A Mandria di Pigna,A Mandria di Pigna,Village,Village,"Pigna, 20220","Pigna, 20220",Haute-Corse,Corse,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,656.0,978.0,AHPĒ,AHPĒ,34 avenue du Président-John-Fitzgerald-Kennedy,34 avenue du Président-John-Fitzgerald-Kennedy,"Biarritz, 64200","Biarritz, 64200",Pyrénées-Atlantiques,Nouvelle-Aquitaine,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,25.0,4.0,AM par Alexandre Mazzia,AM par Alexandre Mazzia,9 rue François-Rocca,9 rue François-Rocca,"Marseille, 13008","Marseille, 13008",Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,3 MICHELIN Stars,3 Stars,3.0,3.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,395.0,330.0,AT,AT,4bis rue du Cardinal-Lemoine,4bis rue du Cardinal-Lemoine,"Paris, 75005","Paris, 75005",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,786.0,774.0,Abri Soba,Abri Soba,10 rue Saulnier,10 rue Saulnier,"Paris, 75009","Paris, 75009",Paris,Île-de-France,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_name_postal,1.0,not_required,normalized_name+postal_code
comparison,2023,2024,611.0,334.0,Accents Table Bourse,Accents Table Bourse,24 rue Feydeau,24 rue Feydeau,"Paris, 75002","Paris, 75002",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,980.0,713.0,Agastache,Agastache,134 rue Duguesclin,134 rue Duguesclin,"Lyon, 69006","Lyon, 69006",Rhône,Auvergne-Rhône-Alpes,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,837.0,912.0,Ahizpak Le Restaurant des Sœurs,Ahizpak Le Restaurant des Sœurs,Avenue de Biarritz,Avenue de Biarritz,"Bidart, 64210","Bidart, 64210",Pyrénées-Atlantiques,Nouvelle-Aquitaine,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_name_postal,1.0,not_required,normalized_name+postal_code
comparison,2023,2024,511.0,246.0,Aida,Aida,1 rue Pierre-Leroux,1 rue Pierre-Leroux,"Paris, 75007","Paris, 75007",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_name_postal,1.0,not_required,normalized_name+postal_code
comparison,2023,2024,697.0,880.0,Akashon,Akashon,"L'Héliopic, 50 place de l'Aiguille-du-Midi","L'Heliopic, 50 place de l'Aiguille-du-Midi","Chamonix-Mont-Blanc, 74400","Chamonix-Mont-Blanc, 74400",Haute-Savoie,Auvergne-Rhône-Alpes,Bib Gourmand,Bib Gourmand,0.5,0.5,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,508.0,208.0,Akrame,Akrame,7 rue Tronchet,7 rue Tronchet,"Paris, 75008","Paris, 75008",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,316.0,395.0,Alain Llorca,Alain Llorca,350 route de Saint-Paul,350 route de Saint-Paul,"La Colle-sur-Loup, 06480","La Colle-sur-Loup, 06480",Alpes-Maritimes,Provence-Alpes-Côte d'Azur,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,305.0,380.0,Alan Geaam,Alan Geaam,19 rue Lauriston,19 rue Lauriston,"Paris, 75016","Paris, 75016",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,176.0,524.0,Albert 1er,Albert 1er,"Hameau Albert-1er, 38 route du Bouchet","Hameau Albert-1er, 38 route du Bouchet","Chamonix-Mont-Blanc, 74400","Chamonix-Mont-Blanc, 74400",Haute-Savoie,Auvergne-Rhône-Alpes,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_name_postal,1.0,not_required,normalized_name+postal_code
comparison,2023,2024,325.0,388.0,Alchémille,Alchémille,53 route de Lapoutroie,53 route de Lapoutroie,"Kaysersberg, 68240","Kaysersberg, 68240",Haut-Rhin,Grand Est,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,349.0,295.0,Alliance,Alliance,5 rue de Poissy,5 rue de Poissy,"Paris, 75005","Paris, 75005",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,501.0,210.0,Allium,Allium,88 boulevard de Créac'h-Gwen,88 boulevard de Créac'h-Gwen,"Quimper, 29000","Quimper, 29000",Finistère,Bretagne,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,23.0,8.0,Alléno Paris au Pavillon Ledoyen,Alléno Paris au Pavillon Ledoyen,8 avenue Dutuit,8 avenue Dutuit,"Paris, 75008","Paris, 75008",Paris,Île-de-France,3 MICHELIN Stars,3 Stars,3.0,3.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,607.0,230.0,Ambroisie,Ambroisie,64 route du Lac,64 route du Lac,"Saint-Didier-de-la-Tour, 38110","Saint-Didier-de-la-Tour, 38110",Isère,Auvergne-Rhône-Alpes,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,466.0,120.0,Anne,Anne,28 place des Vosges,28 place des Vosges,"Paris, 75003","Paris, 75003",Paris,Île-de-France,1 MICHELIN Star,1 Star,1.0,1.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
comparison,2023,2024,87.0,34.0,Anne de Bretagne,Anne de Bretagne,Port de Gravette,Port de Gravette,"La Plaine-sur-Mer, 44770","La Plaine-sur-Mer, 44770",Loire-Atlantique,Pays de la Loire,2 MICHELIN Stars,2 Stars,2.0,2.0,,,unchanged,False,exact_url_postal,1.0,not_required,normalized_url+postal_code
