Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par arrondissement; ; ; ; ; ; 
Code;Libellé;Nb de pers. non scolarisées de 15 ans ou + 2021;Salaire net horaire moyen 2022;Population municipale 2022;Densité de population (historique depuis 1876) 2021;Taux de pauvreté 2021
351;Fougères-Vitré;137765;14.56;188154;86.4;9.3
352;Redon;75763;14.72;105773;80.5;9.3
353;Rennes;431306;16.9;641930;284.4;11.7
354;Saint-Malo;132840;15.31;173375;160.7;10.2
361;Le Blanc;25028;13.04;30455;17.1;16.3
362;Châteauroux;99094;13.91;126129;48.2;15.5
363;La Châtre;22829;13.49;27607;23;16.5
364;Issoudun;26197;14.4;32618;27.7;13.3
371;Chinon;79030;15.05;104144;45.1;11.6
372;Tours;280474;16.37;394832;360.4;13.7
373;Loches;90238;14.74;117350;42.5;11.1
381;Grenoble;533659;17.77;750664;170.3;12.4
382;La Tour-du-Pin;225864;16.36;317894;204.5;10.7
383;Vienne;161793;16.39;222822;148;11.7
391;Dole;80899;15;106061;60;12.2
392;Lons-le-Saunier;81147;14.43;104261;45.9;11.8
393;Saint-Claude;36923;14.44;48083;50.3;10.9
401;Dax;186731;14.86;240041;74.3;11.5
402;Mont-de-Marsan;146203;14.06;188386;30.7;12
411;Blois;112676;15.41;151597;77.5;13.5
412;Vendôme;53185;14.92;67176;39.1;12.4
413;Romorantin-Lanthenay;87113;14.16;110180;41.2;13.3
421;Montbrison;139220;15.62;186822;95.7;9.3
422;Roanne;120916;14.42;158210;88.6;13.7
423;Saint-Étienne;305326;15.08;427009;402.4;19.5
431;Brioude;36134;13.33;44778;23.8;16
432;Le Puy-en-Velay;74448;13.75;97088;50;13.2
433;Yssingeaux;64533;14.69;86295;74.1;9.4
442;Nantes;617468;17.13;888845;449.8;11.2
443;Saint-Nazaire;264243;15.78;350369;196.3;9.8
445;Châteaubriant-Ancenis;166105;15.51;233942;73.3;9.3
451;Montargis;128457;14.93;168964;63.5;16.9
452;Orléans;324586;16.21;455459;154.9;13
453;Pithiviers;46757;14.78;62640;52.7;11.9
461;Cahors;58944;14.02;73782;39.6;15.5
462;Figeac;44082;14.8;54968;34.4;14.7
463;Gourdon;38513;13.86;46870;26.4;15.9
471;Agen;90743;14.63;119835;118.4;16.1
472;Marmande;66032;13.63;84160;60.3;18.2
473;Villeneuve-sur-Lot;70774;13.4;89730;57.2;19.8
474;Nérac;30691;13.83;38501;27.4;17
481;Florac;10678;13.24;13093;7.7;23
482;Mende;49126;13.44;63410;18.2;13.9
491;Angers;275955;15.67;397311;225.1;12.4
492;Cholet;166127;14.38;227085;107.5;9.1
493;Saumur;100641;13.95;132760;67.6;13.3
494;Segré;51101;13.97;70995;55.3;11
501;Avranches;106646;14.37;135095;71.2;11.8
502;Cherbourg;143947;15.72;187300;113.6;11
503;Coutances;55585;13.79;70570;61.7;13
504;Saint-Lô;78766;14.08;103850;81.3;12.1
511;Châlons-en-Champagne;80337;14.65;107104;41.3;14.3
512;Épernay;90106;15.63;115976;42.8;11.8
513;Reims;206724;16.35;297492;207.4;16.6
514;Vitry-le-François;33909;14.18;43535;31.3;14.7
521;Chaumont;48808;14.05;61317;25;13.5
522;Langres;34054;13.93;42581;19.7;13.2
523;Saint-Dizier;51828;13.66;65967;42.3;18.3
531;Château-Gontier;54339;13.97;73078;47.9;10.5
532;Laval;83253;15.11;114872;167.1;11.4
533;Mayenne;90000;13.71;117487;39.9;12.2
541;Val-de-Briey;123987;14.1;164773;161.4;17.9
542;Lunéville;56952;14.3;74592;52;14
543;Nancy;300564;15.78;428111;270;15.1
544;Toul;48920;15.14;65422;54.5;11.3
551;Bar-le-Duc;45158;14.37;56947;39.6;12.8
552;Commercy;32519;14.31;41926;21.8;15
553;Verdun;63170;13.96;81872;29.1;16.1
561;Lorient;247288;15.15;323308;219.3;11.5
562;Pontivy;119931;13.75;157097;53;12.5
563;Vannes;222616;15.29;295698;120.8;10.1
573;Forbach-Boulay-Moselle;182262;14.45;235849;184.9;18.4
575;Sarrebourg-Château-Salins;70273;14.4;90341;46.1;11.6
576;Sarreguemines;76332;14.84;95691;102.9;13.5
577;Thionville;206442;14.94;274786;290;16.1
579;Metz;260271;15.75;354054;323.9;15.8
581;Château-Chinon (Ville);22747;13.15;27068;12.6;18.4
582;Clamecy;16743;13.49;20111;16.4;18.4
583;Nevers;88162;14.15;112589;55.7;15.6
584;Cosne-Cours-sur-Loire;34468;14.01;42531;30.2;15.1
591;Avesnes-sur-Helpe;164893;14.19;224325;160.1;24.1
592;Cambrai;117811;14.17;158302;176.1;18.8
593;Douai;178619;14.75;245007;513.5;19.4
594;Dunkerque;275096;15.44;371940;257.7;15.3
595;Lille;857660;16.92;1267099;1432.6;18.9
596;Valenciennes;250515;14.56;350236;552.4;23.3
601;Beauvais;166986;15.47;230351;110;13.7
602;Clermont;96635;15.57;130837;114.5;9.9
