name,address,city,country,price,cuisine,url,award,stars,longitude,latitude
The Pelican,"45 All Saints Road, North Kensington, London, W11 1HE, United Kingdom",London,United Kingdom,££,Traditional Cuisine,https://thepelicanw11.com/,Bib Gourmand,0.5,-0.2046482,51.5188298
Les 2 Garçons,"14 Middle Lane, Crouch End, Haringey, London, N8 8PL, United Kingdom",London,United Kingdom,££,French,https://www.les2garconsbistro.com,Bib Gourmand,0.5,-0.12355,51.58102
Plaza Khao Gaeng,"Arcade Food Hall, 103-105 New Oxford Street, Bloomsbury, London, WC1A 1DB, United Kingdom",London,United Kingdom,£,Thai,https://plazakhaogaeng.com/,Bib Gourmand,0.5,-0.1295203,51.5162943
The Loch & The Tyne,"10 Crimp Hill, Old Windsor, SL4 2QY, United Kingdom",Old Windsor,United Kingdom,££,British Contemporary,https://www.lochandtyne.com/,Bib Gourmand,0.5,-0.5910703,51.4567787
The Bonnie Badger,"Main Street, Gullane, EH31 2AB, United Kingdom",Gullane,United Kingdom,££,Modern British,https://bonniebadger.com/,Bib Gourmand,0.5,-2.8309937,56.0351457
Noble,"27a Church Road, Holywood, BT18 9BU, United Kingdom",Holywood,United Kingdom,££,Modern Cuisine,https://nobleholywood.com/,Bib Gourmand,0.5,-5.8333093,54.6414093
Paradise,"61 Rupert Street, Soho, London, W1D 7PW, United Kingdom",London,United Kingdom,££,"Sri Lankan, Contemporary",https://paradisesoho.com/,Bib Gourmand,0.5,-0.1337855,51.5122031
Stag & Hounds,"4 Main Street, Burrough on the Hill, LE14 2JQ, United Kingdom",Burrough on the Hill,United Kingdom,££,Modern British,https://www.stagnhoundspub.co.uk/,Bib Gourmand,0.5,-0.882792,52.6882001
COR,"81 North Street, Bedminster, City of Bristol, BS3 1ES, United Kingdom",City of Bristol,United Kingdom,££,Modern British,http://www.correstaurant.com,Bib Gourmand,0.5,-2.6049987,51.4406064
Hereford Road,"3 Hereford Road, Bayswater and Maida Vale, London, W2 4AB, United Kingdom",London,United Kingdom,££,Traditional British,https://www.herefordroad.org/,Bib Gourmand,0.5,-0.1938067,51.5140325
Waterman,"5 Hill Street, Belfast, BT1 2NG, United Kingdom",Belfast,United Kingdom,££,European Contemporary,https://www.waterman.restaurant/,Bib Gourmand,0.5,-5.9267975,54.6017969
Berenjak,"27 Romilly Street, Soho, London, W1D 5AL, United Kingdom",London,United Kingdom,££,Persian,https://berenjaklondon.com/,Bib Gourmand,0.5,-0.1307286,51.513031
The Bull,"Sheep Street, Charlbury, OX7 3RR, United Kingdom",Charlbury,United Kingdom,££,Traditional Cuisine,https://thebullcharlbury.com/,Bib Gourmand,0.5,-1.4823543,51.8727353
