Year,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 FRD21: Eure,"Euro, Millions",,10 793.6,11 192.5,11 410.6,11 770.8,12 005.8,12 423.6,13 119.4,13 286.8,12 811.7,13 236.3,13 560.5,13 666.8,13 741.2,13 733.8,14 087.8,14 125.7,14 404.8,14 761.6,15 102.9,14 453.1
 FRD22: Seine-Maritime,"Euro, Millions",,30 073.1,30 621.3,31 600.4,32 840.5,33 673.3,34 861.8,36 952.5,37 442.1,35 869.5,37 174.8,38 174.3,38 800.8,39 159.1,39 410.8,40 179.9,39 434.6,39 928.4,40 011.8,40 598.7,38 168.9
 FRD11: Calvados,"Euro, Millions",,14 229.5,14 963.9,15 495.1,16 187.4,16 606.3,17 424.7,18 095.6,18 853.8,18 435.2,19 537.2,20 296.6,19 677.4,19 685.9,19 828.3,20 158,20 476.8,19 942.5,20 419.4,20 848.1,20 044.1
 FRD12: Manche,"Euro, Millions",,9 313.08,9 492.07,9 935.21,10 530.2,10 720.5,11 166.4,11 581.3,11 573.8,11 064.9,10 761,11 174.5,11 538.4,11 913.6,11 740.2,11 996.6,12 028,12 306.2,12 759.8,13 307.1,12 632.3
 FRD13: Orne,"Euro, Millions",,5 652.88,5 715.3,5 830.98,6 115.05,6 214.66,6 383.94,6 623.16,6 765.89,6 560.91,6 236.75,6 490.58,6 509.76,6 553.56,6 587.66,6 654.85,6 632.67,6 842.68,6 781.34,6 904.89,6 718.11
 FRE21: Aisne,"Euro, Millions",,9 911.33,10 054.5,9 957.21,10 315.4,10 712.5,10 993.1,11 622.9,11 572.2,11 135.5,11 370.5,11 602.7,11 699.1,11 708.9,11 725.5,11 819.8,11 645.1,12 089.9,12 145,12 482.2,12 016.4
 FRE22: Oise,"Euro, Millions",,16 398,16 907.8,17 633.2,17 980.8,18 367.1,18 916.5,19 889.9,20 127.7,19 252.3,19 713.1,20 365.7,20 522.6,20 463.9,20 466.3,21 380.8,21 269.3,22 095.9,21 969.6,22 582.7,21 192.7
 FRE23: Somme,"Euro, Millions",,11 738.4,11 980.5,12 411.7,12 632.5,12 869.6,13 140.9,13 857.2,14 311.2,13 887.9,14 116.9,14 458.9,14 759.4,14 919.1,14 829,15 224,14 847,15 411.6,15 807.4,16 183.1,15 577.4
 FRE11: Nord,"Euro, Millions",,53 447.7,55 553.5,57 763,59 960.1,61 879.4,65 102,68 262.6,71 008.7,68 754.4,69 383.2,72 136.6,72 128.6,73 258.2,74 181.2,76 245.9,77 056.8,79 479.6,81 600.4,83 000.1,79 689.9
 FRE12: Pas-de-Calais,"Euro, Millions",,24 770.1,25 533.1,25 852.6,26 814.5,27 663,29 019.1,30 416.3,31 649.5,30 668.8,31 136.2,31 839.3,31 793.6,32 192.5,32 724,32 779.7,33 358.9,34 159.8,34 711.7,35 717.8,34 529.6
 FRF21: Ardennes,"Euro, Millions",,5 503.45,5 493.6,5 514.38,5 786.72,5 809.55,6 061.54,6 310.74,6 348.58,6 081.13,6 018.42,6 387.53,6 049.7,6 175.01,6 117.96,6 175.88,6 006.43,6 156,6 327.29,6 457.64,6 080.74
 FRF22: Aube,"Euro, Millions",,6 309.3,6 552.72,6 675.27,7 125.04,7 219.28,7 425.34,7 817.11,8 013.11,7 711.1,7 671.12,8 142.24,7 924.58,7 935.28,8 022.66,7 952.29,7 729.55,8 109.85,8 457.06,8 488.19,8 133.92
 FRF23: Marne,"Euro, Millions",,14 688.1,14 986,15 064.3,16 503.4,16 711.7,17 182.9,18 282.2,18 283.8,16 903.1,17 557.7,18 614.8,18 506.2,18 588.1,18 439.4,18 697.8,18 670.2,19 388.8,19 888.8,20 080.9,18 948.1
 FRF24: Haute-Marne,"Euro, Millions",,3 873.5,3 887.83,3 878.03,4 006.92,4 014.67,4 106.95,4 302.51,4 534.7,4 352.13,4 235.43,4 476.83,4 268.39,4 340.71,4 387.72,4 396,4 325.9,4 461.26,4 476.39,4 526.47,4 266.83
 FRF31: Meurthe-et-Moselle,"Euro, Millions",,15 026.1,15 260.5,15 751.8,16 478.1,16 771.3,17 640,18 234.8,18 884.2,18 631.5,18 498,18 608.7,18 645,19 068.2,19 278.3,18 982.3,19 145.2,19 418.3,19 838.5,20 272.3,19 819.4
 FRF32: Meuse,"Euro, Millions",,3 495.49,3 613.2,3 663.41,3 816.66,3 942.58,4 036.3,4 239.11,3 930.91,3 695.88,3 746.62,3 871.93,3 868,3 904.63,3 955.35,4 018.44,3 934.63,4 053.72,4 061.34,4 199.61,4 051.47
 FRF33: Moselle,"Euro, Millions",,20 893.6,21 510.3,22 104.9,23 292.9,23 966.6,24 813.8,25 668.5,25 353.1,24 281.8,24 398.8,25 066,24 870.6,24 876.2,25 355,26 008.9,25 823.3,26 574.8,26 815.6,27 102.7,25 447.6
 FRF34: Vosges,"Euro, Millions",,7 922.47,8 113.23,8 149.22,8 382.64,8 290.74,8 404.23,8 741.31,8 816.2,8 481.94,8 316.1,8 626.87,8 449.46,8 457.18,8 545.63,8 738.68,8 730.19,9 027.53,9 164.91,9 283.84,8 958.94
 FRF11: Bas-Rhin,"Euro, Millions",,26 657.2,27 204.7,28 228.3,29 443.9,29 635,30 935.9,32 752.3,34 294.6,33 439.6,33 672.1,34 798.2,34 782.4,35 386.4,35 978.9,36 470.9,37 483.3,38 275.6,39 502.8,40 556.7,38 632.7
 FRF12: Haut-Rhin,"Euro, Millions",,16 835.5,17 254.8,17 146.5,17 438.6,17 944.2,18 624.9,19 717.3,19 979.3,19 322.9,19 022.2,19 820.6,19 820.7,20 138.6,20 410.2,20 734.2,20 967,21 812,22 534.5,22 919,21 556.3
 FRG01: Loire-Atlantique,"Euro, Millions",,29 271.8,30 094.5,31 366.1,32 848.7,34 317.3,36 104.8,37 951.7,39 622.3,38 690.4,39 039.1,41 341.7,42 367.3,43 151.5,44 311.2,46 420.3,47 453,49 285.3,51 252.8,53 699.7,51 591.3
 FRG02: Maine-et-Loire,"Euro, Millions",,15 608.9,16 067.9,16 552.2,17 146.5,17 689,18 189.8,19 169,19 778.3,19 067.7,19 509.2,20 559.6,20 603.6,20 968.2,21 220.6,21 547,21 808.7,22 417.5,22 670.1,23 539.1,23 007.2
 FRG03: Mayenne,"Euro, Millions",,6 259.1,6 599.87,6 741.22,7 018.55,7 049.21,7 283.21,7 678.52,8 177.54,7 585.45,7 817.82,8 380.57,8 072.24,8 418.66,8 459.89,8 535.29,8 624.52,8 720.39,9 012.16,9 236.61,9 125.73
 FRG04: Sarthe,"Euro, Millions",,10 931.5,11 421.6,11 660,12 226.9,12 488.4,12 755.6,13 459,14 086.5,13 805.4,13 772.5,14 162.1,14 398.3,14 477.1,14 738.9,14 625.6,14 768.3,14 938.5,15 023.8,15 350.3,14 651.4
 FRG05: Vendée,"Euro, Millions",,11 820.9,12 280.2,12 729,13 078.7,13 877.5,14 693.2,15 539.1,16 081.6,15 555.3,15 508.7,16 444.8,16 769.1,16 914.7,17 264.8,17 820.3,18 324.4,18 958.5,19 538.1,20 158.9,19 767.2
 FRH01: Côtes-d'Armor,"Euro, Millions",,10 346.5,10 543,10 997,11 740.6,12 092.5,12 746.3,13 246.8,13 679.2,13 080.3,13 008.7,13 412.5,13 691.5,13 864.9,14 132.4,14 479.4,14 860.2,15 493.4,15 586.1,16 224.1,16 093.7
 FRH02: Finistère,"Euro, Millions",,18 140.6,18 532.5,19 086.1,20 418.3,21 013.4,22 053.2,22 873.6,22 167.9,21 461.3,21 677.6,22 619.6,22 770.8,23 300.1,23 551.1,24 117.6,24 524.1,25 125.1,25 372,26 391.5,25 844.4
 FRH03: Ille-et-Vilaine,"Euro, Millions",,21 701.6,22 548,23 589.6,25 407.2,26 946.2,28 065.6,29 107.9,29 609,28 907.1,29 636.2,30 980.1,31 542.5,32 006.5,33 272.3,34 177.1,35 050,36 659.7,37 610.3,38 767.5,38 158.6
 FRH04: Morbihan,"Euro, Millions",,13 191.9,13 670.6,13 940.3,14 837.2,15 472.4,16 207.4,16 879,16 909.1,16 347.4,16 360.7,17 226.7,17 510.8,17 739.9,18 018.3,18 529.8,18 934.5,19 519.6,20 007.9,20 678.1,20 297.9
 FRI31: Charente,"Euro, Millions",,7 650.5,7 949.49,8 287.39,8 443.69,8 417.27,8 619.63,9 166.82,9 099.09,8 680.22,8 753.9,9 189.68,9 537.67,9 568.61,9 532.44,9 950.19,9 989.58,10 244.3,10 569.5,11 038,10 580.4
 FRI32: Charente-Maritime,"Euro, Millions",,10 590.4,11 033.1,11 237.8,11 826.4,12 269.8,12 964.4,13 733.4,14 065.8,13 653.1,14 272.5,14 736,14 811,14 861.4,15 379,15 497.7,15 809.6,16 272.3,16 867.7,17 323.7,16 887.8
 FRI33: Deux-Sèvres,"Euro, Millions",,7 471.94,7 928.98,8 133.66,8 675.91,8 872.83,9 276.57,9 784.3,9 347.03,9 351.79,9 439.4,9 905.28,10 159.4,10 375.5,10 610.7,10 584.4,10 507,10 765.2,11 155.7,11 484,11 341.1
 FRI34: Vienne,"Euro, Millions",,8 300.31,8 572.39,8 959.98,9 354.9,9 620.12,9 942.1,10 439.2,10 869.1,10 756.6,10 768,11 243.7,11 680.2,11 796.3,12 019.4,12 034.5,12 080.8,12 465.9,12 605.5,12 956.1,12 173
 FRI11: Dordogne,"Euro, Millions",,6 635.88,6 996.76,7 068.08,7 430.09,7 597.34,7 984.82,8 370.99,8 713.72,8 605.49,8 574.4,8 856.56,8 852.2,8 949.88,9 143.2,9 257.14,9 287.03,9 444.33,9 585.04,9 711.35,9 414.94
 FRI12: Gironde,"Euro, Millions",,33 963.1,34 762.5,35 776.9,37 319.1,38 797.1,41 219.8,42 979,42 839.9,42 965.2,44 945.3,46 679.7,47 704.6,47 232.9,48 468.8,50 271.2,52 150.9,54 216.7,56 713.9,58 304,55 887.1
 FRI13: Landes,"Euro, Millions",,6 974.36,7 423.64,7 523.99,7 814.33,8 189.91,8 577.48,9 019.59,8 751.89,8 660.54,8 657.06,9 247.56,9 542.81,9 600.52,9 789.67,9 973.67,10 010.6,10 185.2,10 547.3,10 925.2,10 424.1
