Code;Libellé;Population municipale 2020;Taux de pauvreté 2020;Densité de population (historique depuis 1876) 2020;Salaire net horaire moyen 2021
772;Melun;285953;13.1;463.4;15.96
773;Provins;185789;13;79.2;15.38
774;Fontainebleau;156259;9.9;127.2;18.8
775;Torcy;460289;11.4;1203.3;17.74
781;Mantes-la-Jolie;277913;15.4;366.1;16.54
782;Rambouillet;229263;6.2;232.2;22.2
783;Saint-Germain-en-Laye;526087;9.1;1499.4;25.67
784;Versailles;416460;8.8;2224.7;23.6
791;Bressuire;109524;13;56.5;12.91
792;Niort;199450;10.8;81.6;15.54
793;Parthenay;65507;13.5;40.6;13.31
801;Abbeville;123265;15.6;79;13.3
802;Amiens;305222;16.2;130.3;14.66
803;Montdidier;47198;12.6;60.4;14.27
804;Péronne;93063;15.8;62.7;13.82
811;Albi;193968;15.1;71;14.08
812;Castres;197098;15.4;65.1;14.33
821;Castelsarrasin;78866;19.4;49.2;13.54
822;Montauban;183450;15;86.7;14.12
831;Draguignan;312733;16.1;140.8;14.82
832;Toulon;585853;15.2;475;14.96
833;Brignoles;186603;14.5;74.1;15.08
841;Apt;128242;17.1;92.2;15
842;Avignon;209291;22.2;621.2;14.32
843;Carpentras;224408;18.3;122;14.45
851;Fontenay-le-Comte;139288;11.1;60.4;13.11
852;La Roche-sur-Yon;303179;7.9;121.8;13.82
853;Les Sables-d'Olonne;250238;9;130.1;13.78
861;Châtellerault;107919;14.7;54.4;13.63
862;Montmorillon;66151;16.1;23;13.03
863;Poitiers;265262;13.2;124.4;14.42
871;Bellac;38051;17.4;21.4;12.96
872;Limoges;296463;15.1;100.7;14.28
873;Rochechouart;37609;14.6;47.3;13.65
881;Épinal;201097;15;77.4;13.96
882;Neufchâteau;52308;14.7;28.8;14.15
883;Saint-Dié-des-Vosges;108992;14.9;74.7;13.51
891;Auxerre;162393;13.7;47.3;13.82
892;Avallon;40945;15.4;19.7;13.17
893;Sens;130818;14.6;68.2;14.38
901;Belfort;140120;14.8;229.9;15.82
911;Étampes;132124;8.5;155.2;17.16
912;Évry;541063;16.7;1153.7;16.34
913;Palaiseau;632931;11.3;1307.7;19.17
921;Antony;404033;10.6;8531.1;23.11
922;Nanterre;903365;13.6;9844.9;26.3
923;Boulogne-Billancourt;318815;8.8;8737.1;28.65
931;Bobigny;435582;27.2;11117.5;15.79
932;Le Raincy;771913;23.5;5159.2;15.24
933;Saint-Denis;447927;35.4;9449.9;13.7
941;Créteil;321769;15.9;3224.1;17.28
942;Nogent-sur-Marne;510531;11.8;9063.2;22.28
943;L'Haÿ-les-Roses;575672;21.6;6475.5;16.47
951;Argenteuil;424687;16.6;3909.8;17.67
952;Sarcelles;478439;19.9;1288.5;16.27
953;Pontoise;348678;13.4;455.2;17.22
9711;Basse-Terre;184542;N/A - résultat non disponible;216;15.43
9712;Pointe-à-Pitre;199017;N/A - résultat non disponible;257.1;14.48
9721;Fort-de-France;150518;24.4;880.3;15.11
9722;La Trinité;73930;31.1;219;13.45
9723;Le Marin;114520;26.3;279.9;14.87
9724;Saint-Pierre;22257;28.3;105.9;14.25
9731;Cayenne;181520;N/A - résultat non disponible;10.7;15.52
9732;Saint-Laurent-du-Maroni;96306;N/A - résultat non disponible;2.4;11.91
9733;Saint-Georges;7307;N/A - résultat non disponible;0.3;N/A - résultat non disponible
9741;Saint-Denis;211437;32.1;734.6;14.62
9742;Saint-Pierre;312126;37.4;331;12.86
9743;Saint-Benoît;127537;42.9;173.3;12.55
9744;Saint-Paul;211983;32;394.6;14.63
